"Country or Area","Year","Value","Value Footnotes"
"Hong Kong, China","2014","74.56",""
"Hong Kong, China","2013","74.2","1"
"Hong Kong, China","2012","72.9","1"
"Hong Kong, China","2011","72.2","2"
"Hong Kong, China","2010","72","2"
"Hong Kong, China","2009","69.4","2"
"Hong Kong, China","2008","66.7","2"
"Hong Kong, China","2007","64.8","2"
"Hong Kong, China","2006","60.8","2"
"Hong Kong, China","2005","56.9","2"
"Hong Kong, China","2004","56.3998803935333","3"
"Hong Kong, China","2003","52.2000433497404","3"
"Hong Kong, China","2002","43.0823830278909","3"
"Hong Kong, China","2001","38.6714032309569","3"
"Hong Kong, China","2000","27.8277606812581","3"
"Hong Kong, China","1999","21.2306819749994",""
"Hong Kong, China","1998","14.5459795803324",""
"Hong Kong, China","1997","10.5187570475672",""
"Hong Kong, China","1996","4.74883867150288",""
"Hong Kong, China","1995","3.21863564288143",""
"Hong Kong, China","1994","2.78419826636163",""
"Hong Kong, China","1993","1.33456803119019",""
"Hong Kong, China","1992","0.849527883374094",""
"Hong Kong, China","1991","0.120955444334145",""
"Hong Kong, China","1990","0",""

"footnoteSeqID","Footnote"
"1","All persons aged 10 and over"
"2","Population age 10+."
"3","Population age 10+ who accessed Internet in previous year."
